,CTI,block_duration,correct,correct_response,cue,cue_switch,exp_stage,experiment_exp_id,feedback_duration,key_press,possible_responses,rt,stim_color,stim_duration,stim_number,task,task_switch,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
296,900.0,2272.0,True,71.0,Orange-Blue,switch,test,twobytwo,,71.0,"89,71",495.0,orange,1000.0,8.0,color,stay,,178586,stim,63.0,poldrack-single-stim,s373
299,100.0,2272.0,True,71.0,Color,switch,test,twobytwo,,71.0,"89,71",1044.0,orange,1000.0,2.0,color,stay,,180965,stim,64.0,poldrack-single-stim,s373
302,900.0,2408.0,True,71.0,Magnitude,,test,twobytwo,,71.0,"89,71",539.0,orange,1000.0,8.0,magnitude,switch,,184277,stim,65.0,poldrack-single-stim,s373
305,100.0,2136.0,True,71.0,Magnitude,stay,test,twobytwo,,71.0,"89,71",854.0,#1F45FC,1000.0,8.0,magnitude,stay,,186517,stim,66.0,poldrack-single-stim,s373
308,100.0,2272.0,True,71.0,Orange-Blue,,test,twobytwo,,71.0,"89,71",894.0,orange,1000.0,4.0,color,switch,,188896,stim,67.0,poldrack-single-stim,s373
311,100.0,2000.0,True,89.0,Color,switch,test,twobytwo,,89.0,"89,71",1020.0,#1F45FC,1000.0,1.0,color,stay,,191008,stim,68.0,poldrack-single-stim,s373
314,900.0,2136.0,True,89.0,Orange-Blue,switch,test,twobytwo,,89.0,"89,71",502.0,#1F45FC,1000.0,1.0,color,stay,,194048,stim,69.0,poldrack-single-stim,s373
317,900.0,2272.0,True,89.0,Orange-Blue,stay,test,twobytwo,,89.0,"89,71",549.0,#1F45FC,1000.0,4.0,color,stay,,197223,stim,70.0,poldrack-single-stim,s373
320,100.0,2000.0,True,71.0,High-Low,,test,twobytwo,,71.0,"89,71",823.0,orange,1000.0,9.0,magnitude,switch,,199334,stim,71.0,poldrack-single-stim,s373
323,100.0,2680.0,False,71.0,Color,,test,twobytwo,,89.0,"89,71",1128.0,orange,1000.0,4.0,color,switch,,202123,stim,72.0,poldrack-single-stim,s373
326,900.0,2000.0,True,89.0,Orange-Blue,switch,test,twobytwo,,89.0,"89,71",867.0,#1F45FC,1000.0,9.0,color,stay,,205030,stim,73.0,poldrack-single-stim,s373
329,100.0,2000.0,True,71.0,Magnitude,,test,twobytwo,,71.0,"89,71",717.0,#1F45FC,1000.0,9.0,magnitude,switch,,207137,stim,74.0,poldrack-single-stim,s373
332,900.0,2000.0,True,89.0,Magnitude,stay,test,twobytwo,,89.0,"89,71",480.0,orange,1000.0,3.0,magnitude,stay,,210044,stim,75.0,poldrack-single-stim,s373
335,900.0,2272.0,True,89.0,Color,,test,twobytwo,,89.0,"89,71",573.0,#1F45FC,1000.0,3.0,color,switch,,213222,stim,76.0,poldrack-single-stim,s373
